time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1980-12-31T07:01:59.700Z,-30.753,-71.946,33,4.7,mb,,,,,us,usp0001bht,2014-11-06T23:24:28.481Z,"73 km WSW of Ovalle, Chile",earthquake,,,,,reviewed,us,us
1980-12-30T06:44:11.800Z,-5.374,-80.202,96,4,mb,,,,,us,usp0001bhd,2014-11-06T23:24:28.469Z,"21 km SW of La Matanza, Peru",earthquake,,,,,reviewed,us,us
1980-12-29T12:23:38.600Z,-23.904,-66.828,198,4.1,mb,,,,,us,usp0001bh2,2014-11-06T23:24:28.458Z,"62 km NW of San Antonio de los Cobres, Argentina",earthquake,,,,,reviewed,us,us
1980-12-29T01:19:22.000Z,-12.278,-71.263,33,4.8,mb,,,,,us,usp0001bgv,2014-11-06T23:24:28.451Z,"62 km N of Salvación, Peru",earthquake,,,,,reviewed,us,us
1980-12-28T17:03:16.100Z,-25.176,-70.024,54,5,mb,,,,,us,usp0001bgq,2022-04-28T01:19:10.339Z,"53 km ENE of Taltal, Chile",earthquake,,,,,reviewed,us,us
1980-12-27T12:32:09.500Z,-36.424,-73.045,33,5.2,mb,,,,,us,usp0001bg6,2014-11-06T23:24:28.431Z,"22 km NNW of Tomé, Chile",earthquake,,,,,reviewed,us,us
1980-12-26T08:19:41.200Z,-12.794,-77.037,62,4.5,mb,,,,,us,usp0001bfs,2014-11-06T23:24:28.418Z,"44 km SW of Chilca, Peru",earthquake,,,,,reviewed,us,us
1980-12-26T01:32:07.900Z,5.941,-73.326,121,4.7,mb,,,,,us,usp0001bfd,2014-11-06T23:24:28.406Z,"2 km ESE of Gámbita, Colombia",earthquake,,,,,reviewed,us,us
1980-12-25T06:32:46.000Z,-31.48,-67.14,122,5.1,mb,,,,,us,usp0001bf0,2016-11-10T00:17:17.301Z,"98 km SSE of San Agustín de Valle Fértil, Argentina",earthquake,,,,,reviewed,us,us
1980-12-25T00:51:04.500Z,-4.119,-81.147,33,5.1,mb,,,,,us,usp0001bex,2014-11-06T23:24:28.392Z,"11 km W of Máncora, Peru",earthquake,,,,,reviewed,us,us
