time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1926-10-25T15:38:55.880Z,-33.804,-72.729,15,5.74,mw,,,,,iscgem,iscgem910189,2022-04-25T23:21:00.760Z,"106 km WSW of San Antonio, Chile",earthquake,,10.3,0.4,,reviewed,iscgem,iscgem
1926-10-19T20:48:43.800Z,11.031,-82.243,15,6.01,mw,,,,,iscgem,iscgem910171,2022-04-25T23:20:15.418Z,"144 km NE of Limón, Costa Rica",earthquake,,25,0.26,,reviewed,iscgem,iscgem
1926-09-10T08:26:53.380Z,-44.684,-79.209,10,5.89,mw,,,,,iscgem,iscgem910099,2022-04-25T23:19:22.093Z,"Off the coast of Aisen, Chile",earthquake,,25,0.5,,reviewed,iscgem,iscgem
1926-09-06T00:49:57.080Z,-34.339,-73.836,15,5.83,mw,,,,,iscgem,iscgem910085,2022-04-25T23:19:07.266Z,"170 km NW of Constitución, Chile",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1926-09-06T00:16:26.690Z,-34.669,-74.572,15,6.31,mw,,,,,iscgem,iscgem910084,2022-04-25T23:19:05.583Z,"210 km WNW of Constitución, Chile",earthquake,,25,0.22,,reviewed,iscgem,iscgem
1926-08-14T08:36:50.570Z,-41.326,-88.18,10,5.92,mw,,,,,iscgem,iscgem910055,2022-04-25T23:18:23.094Z,"West Chile Rise",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1926-08-09T21:40:16.670Z,-28.753,-71.292,35,5.83,mw,,,,,iscgemsup,iscgemsup910045,2022-05-09T17:47:02.418Z,"55 km WSW of Vallenar, Chile",earthquake,,17.2,0.2,,reviewed,iscgemsup,iscgemsup
1926-08-09T01:00:40.430Z,-40.357,-73.742,35,5.53,mw,,,,,iscgemsup,iscgemsup910039,2022-05-09T17:46:55.164Z,"56 km W of La Unión, Chile",earthquake,,25,0.51,,reviewed,iscgemsup,iscgemsup
1926-07-01T20:29:36.560Z,-5.922,-82.655,15,5.95,mw,,,,,iscgem,iscgem909914,2022-04-25T23:17:04.654Z,"193 km WSW of Paita, Peru",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1926-06-05T01:20:48.410Z,-15.078,-75.892,35,5.73,mw,,,,,iscgem,iscgem909862,2022-04-25T23:16:47.309Z,"84 km WNW of San Juan, Peru",earthquake,,7.3,0.21,,reviewed,iscgem,iscgem
1926-05-13T13:43:59.850Z,-30.045,-74.452,10,5.9,mw,,,,,iscgemsup,iscgemsup909838,2022-05-09T17:46:06.487Z,"Off the coast of Coquimbo, Chile",earthquake,,25,0.23,,reviewed,iscgemsup,iscgemsup
1926-05-12T03:45:35.160Z,-30.816,-72.866,15,5.77,mw,,,,,iscgem,iscgem909836,2022-04-25T23:16:23.963Z,"161 km W of Ovalle, Chile",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1926-05-07T21:09:04.730Z,-38.14,-73.007,35,5.38,mw,,,,,iscgemsup,iscgemsup909831,2022-05-09T17:46:05.258Z,"31 km WNW of Traiguén, Chile",earthquake,,5.8,0.4,,reviewed,iscgemsup,iscgemsup
1926-05-05T06:21:36.510Z,2.893,-91.384,10,5.88,mw,,,,,iscgem,iscgem909829,2022-04-25T23:16:11.949Z,"Galapagos Islands, Ecuador region",earthquake,,25,0.24,,reviewed,iscgem,iscgem
1926-03-27T06:23:29.330Z,0.406,-80.099,11,5.51,mw,,,,,iscgemsup,iscgemsup909793,2022-05-09T17:45:48.880Z,"24 km SSW of Muisne, Ecuador",earthquake,,13.4,0.2,,reviewed,iscgemsup,iscgemsup
1926-03-17T11:53:42.720Z,11.987,-82.065,25,6.71,mw,,,,,iscgem,iscgem909769,2022-04-25T23:14:45.818Z,"76 km SSW of San Andrés, Colombia",earthquake,,14.5,0.25,,reviewed,iscgem,iscgem
