Global Volcanism Program - Volcanoes of the World 5.0.2,,,,Downloaded on 26 Feb 2023 at 12:19 AM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
273010,Bulusan,22450,Confirmed Eruption,,,,,2022,,6,,5,,Observations: Reported,,2022,,6,,12,,12.769,124.056
261230,Dempo,22446,Confirmed Eruption,,,,,2022,,5,,31,,Observations: Reported,,2022,,5,,31,,-4.016,103.121
263340,Raung,22454,Confirmed Eruption,,2,,,2022,,5,,14,,Observations: Satellite (infrared),,2022,,9,,27,,-8.119,114.056
345040,Poas,22448,Confirmed Eruption,,,,,2022,,4,,6,,Observations: Reported,,2022,,4,,6,,10.2,-84.233
351060,Purace,22451,Confirmed Eruption,,1,,,2022,,3,,29,,Observations: Reported,,2022,,3,,29,,2.32,-76.4
264050,Sangeang Api,22434,Confirmed Eruption,,,,,2022,,2,,17,,Observations: Reported,,2022,,2,,17,,-8.2,119.07
353020,Wolf,22431,Confirmed Eruption,,2,,,2022,,1,,6,,Observations: Reported,,2022,,4,,14,,0.02,-91.35
233020,"Fournaise, Piton de la",22396,Confirmed Eruption,"S flank of Enclos Fouque, SE of Piton Kala Pélé and SW of Château Fort",0,,,2021,,12,,22,,Observations: Seismicity,,2022,,1,,17,,-21.244,55.708
243040,Hunga Tonga-Hunga Ha'apai,22429,Confirmed Eruption,,5,,,2021,,12,,20,,Observations: Reported,,2022,,1,,15,,-20.536,-175.382
273083,Pinatubo,22423,Confirmed Eruption,,1,,,2021,,11,,30,,Observations: Reported,,2021,,11,,30,,15.13,120.35
264250,Iliwerung,22421,Confirmed Eruption,,0,,,2021,,11,,28,,Observations: Reported,,2021,,11,,29,,-8.532,123.573
273070,Taal,22452,Confirmed Eruption,Main Crater,2,,,2021,,11,,15,,Observations: Reported,,2022,,4,,1,,14.002,120.993
345070,Turrialba,22425,Confirmed Eruption,,1,,,2021,,11,,3,,Observations: Reported,,2022,,2,,28,,10.025,-83.767
332010,Kilauea,22416,Confirmed Eruption,Halema`uma`u Crater.,0,,,2021,,9,,29,,Observations: Reported,>,2023,,1,,6,,19.421,-155.287
312030,Pavlof,22411,Confirmed Eruption,,2,,,2021,,8,,5,,Observations: Reported,,2022,,12,,7,,55.417,-161.894
284170,Pagan,22409,Confirmed Eruption,,2,,,2021,,7,,29,,Observations: Reported,,2021,,9,,6,,18.13,145.8
264270,Sirung,22405,Confirmed Eruption,,1,,,2021,,7,,21,,Observations: Reported,,2021,,7,,21,,-8.508,124.13
357090,Copahue,22413,Confirmed Eruption,,1,,,2021,,7,,2,,Observations: Reported,,2021,,11,,6,,-37.856,-71.183
273070,Taal,22406,Confirmed Eruption,,1,,,2021,,7,,1,,Observations: Reported,,2021,,7,,9,,14.002,120.993
345020,Rincon de la Vieja,22412,Confirmed Eruption,,2,,,2021,,6,,28,,Observations: Reported,>,2022,,12,,19,,10.83,-85.324
345070,Turrialba,22403,Confirmed Eruption,,1,,,2021,,6,,13,,Observations: Reported,,2021,,7,,23,,10.025,-83.767
262000,Krakatau,22426,Confirmed Eruption,,2,,,2021,,5,,25,,Observations: Reported,>,2022,,12,,19,,-6.102,105.423
311120,Great Sitkin,22401,Confirmed Eruption,,2,,,2021,,5,,25,,Observations: Reported,>,2022,,12,,19,,52.076,-176.13
263200,Dieng Volcanic Complex,22397,Confirmed Eruption,,1,,,2021,,4,,29,,Observations: Reported,,2021,,4,,29,,-7.2,109.879
344040,Telica,22402,Confirmed Eruption,,1,,,2021,,4,,21,,Observations: Reported,,2022,,3,,29,,12.606,-86.84
233020,"Fournaise, Piton de la",22395,Confirmed Eruption,"Enclos Fouque caldera, 700 m S of Château Fort",0,,,2021,,4,,9,,Observations: Seismicity,,2021,,5,,24,,-21.244,55.708
371032,Fagradalsfjall,22399,Confirmed Eruption,,0,,,2021,,3,,19,,Observations: Reported,,2021,,9,,18,,63.895,-22.258
312070,Veniaminof,22393,Confirmed Eruption,,1,,,2021,,2,,28,,Observations: Reported,,2021,,4,,5,,56.17,-159.38
311060,Semisopochnoi,22392,Confirmed Eruption,North Cerberus,2,,,2021,,2,,2,2,Observations: Reported,,2022,,11,,7,,51.93,179.58
263340,Raung,22383,Confirmed Eruption,,2,,,2021,,1,,21,,Observations: Reported,,2021,,4,,14,,-8.119,114.056
263250,Merapi,22381,Confirmed Eruption,,1,,,2020,,12,,31,,Observations: Reported,>,2022,,12,,19,,-7.54,110.446
344020,San Cristobal,22394,Confirmed Eruption,,3,,,2020,,12,?,27,,Observations: Reported,,2022,,6,,26,,12.702,-87.004
360150,Soufriere St. Vincent,22385,Confirmed Eruption,,4,,,2020,,12,,27,,Observations: Reported,,2021,,4,,22,,13.33,-61.18
263310,Tengger Caldera,22382,Confirmed Eruption,,1,,,2020,,12,,26,,Observations: Reported,,2020,,12,,28,,-7.942,112.95
332010,Kilauea,22380,Confirmed Eruption,,0,,,2020,,12,,20,,Observations: Reported,,2021,,5,,23,,19.421,-155.287
233020,"Fournaise, Piton de la",22371,Confirmed Eruption,"WSW flank of Dolomieu cone at elevations between 2,300 and 2,190 m",0,,,2020,,12,,7,,Observations: Seismicity,,2020,,12,,8,,-21.244,55.708
264230,Lewotolok,22373,Confirmed Eruption,,2,,,2020,,11,,27,,Observations: Reported,,2022,,10,,23,,-8.274,123.508
261080,Sinabung,22365,Confirmed Eruption,,3,,,2020,,8,,8,,Observations: Reported,,2021,,9,,23,,3.17,98.392
344040,Telica,22368,Confirmed Eruption,,1,,,2020,,7,,20,,Observations: Reported,,2020,,12,,9,,12.606,-86.84
263340,Raung,22367,Confirmed Eruption,,1,,,2020,,7,,16,,Observations: Reported,,2020,,10,,3,,-8.119,114.056
345070,Turrialba,22369,Confirmed Eruption,,1,,,2020,,6,,18,,Observations: Reported,,2020,,8,,24,,10.025,-83.767
357090,Copahue,22376,Confirmed Eruption,Agrio Crater,2,,,2020,,6,,16,,Observations: Reported,,2020,,11,,2,,-37.856,-71.183
311240,Cleveland,22361,Confirmed Eruption,,3,,,2020,,6,,1,,Observations: Reported,,2020,,6,,1,,52.825,-169.944
266030,Soputan,22354,Confirmed Eruption,,2,,,2020,,3,,23,,Observations: Reported,,2020,,4,,2,,1.112,124.737
343100,San Miguel,22355,Confirmed Eruption,,1,,,2020,,2,,22,,Observations: Reported,,2020,,2,,22,,13.434,-88.269
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,"E flank of Dolomieu cone between the rim and 2,000 m elevation",0,,,2020,,2,,10,,Observations: Seismicity,,2020,,4,,6,,-21.244,55.708
345020,Rincon de la Vieja,22346,Confirmed Eruption,,2,,,2020,,1,,30,,Observations: Reported,,2020,,12,,13,,10.83,-85.324
353010,Fernandina,22347,Confirmed Eruption,,0,,,2020,,1,,12,,Observations: Reported,,2020,,1,,13,,-0.37,-91.55
273070,Taal,22344,Confirmed Eruption,,4,,,2020,,1,,12,,Observations: Reported,,2020,,1,,22,,14.002,120.993
241040,Whakaari/White Island,22338,Confirmed Eruption,1978/90 Crater Complex,2,,,2019,,12,,9,,Observations: Reported,,2019,,12,,9,,-37.52,177.18
311060,Semisopochnoi,22341,Confirmed Eruption,North Cerberus,1,,,2019,,12,,7,,Observations: Reported,,2020,,6,,19,,51.93,179.58
243070,Lateiki,22334,Confirmed Eruption,,1,,,2019,,10,,13,,Observations: Reported,,2019,,10,,22,,-19.18,-174.87
243091,Unnamed,22460,Confirmed Eruption,,3,,,2019,,8,,6,,Observations: Satellite (visual),,2019,,8,,8,,-18.325,-174.365
357090,Copahue,22336,Confirmed Eruption,Agrio Crater,2,,,2019,,8,,2,,Observations: Reported,,2019,,11,?,12,,-37.856,-71.183
263090,Tangkuban Parahu,22325,Confirmed Eruption,,1,,,2019,,7,,26,,Observations: Reported,,2019,,9,,17,,-6.77,107.6
311360,Shishaldin,22330,Confirmed Eruption,Summit crater,3,,,2019,,7,,23,,Observations: Reported,,2020,,5,,4,,54.756,-163.97
311060,Semisopochnoi,22328,Confirmed Eruption,,1,,,2019,,7,,16,,Observations: Reported,,2019,,8,,24,,51.93,179.58
354020,Ubinas,22324,Confirmed Eruption,,2,,,2019,,6,,24,,Observations: Reported,,2019,,9,,12,,-16.355,-70.903
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,SSE flank of Dolomieu cone,0,,,2019,,6,,11,,Observations: Seismicity,,2019,,10,,27,,-21.244,55.708
311120,Great Sitkin,22322,Confirmed Eruption,,1,,,2019,,6,,1,,Observations: Reported,,2019,,6,,7,,52.076,-176.13
341040,Colima,22323,Confirmed Eruption,,1,,,2019,,5,,11,,Observations: Reported,,2019,,7,,12,,19.514,-103.62
352090,Sangay,22312,Confirmed Eruption,,2,,,2019,,3,,26,,Observations: Reported,>,2022,,12,,19,,-2.005,-78.341
344020,San Cristobal,22311,Confirmed Eruption,,1,,,2019,,3,,4,,Observations: Reported,,2019,,3,,4,,12.702,-87.004
263310,Tengger Caldera,22306,Confirmed Eruption,Bromo,2,,,2019,,2,,18,,Observations: Reported,,2019,,7,,28,,-7.942,112.95
233020,"Fournaise, Piton de la",22307,Confirmed Eruption,"base of E flank of Dolomieu cone, at the foot of Piton Madoré",0,,,2019,,2,,18,,Observations: Seismicity,,2019,,3,,10,,-21.244,55.708
