Volcano Name,Country,Location,Latitude,Longitude,Type
Itasy Volcanic Field,Madagascar,Madagascar,-19.033,46.7,Scoria cone
Nosy-Be,Madagascar,Madagascar,-13.32,48.48,Cinder cone
Vakinankaratra,Madagascar,Madagascar,-19.85,46.942,Cinder cone
Bombalai,Malaysia,Borneo,4.4,117.88,Pyroclastic cone
Tin Zaouatene Volcanic Field,Mali,Africa-N,19.83,2.83,Volcanic field
Pelee,Martinique,W Indies,14.809,-61.166,Stratovolcano
"Atlixcos, Los",Mexico,Mexico,19.81,-96.527,Shield volcano
Ceboruco,Mexico,Mexico,21.125,-104.508,Stratovolcano
Chichinautzin,Mexico,Mexico,19.08,-99.13,Volcanic field
"Chichon, El",Mexico,Mexico,17.36,-93.228,Tuff cone
Cofre de Perote,Mexico,Mexico,19.492,-97.15,Shield volcano
Colima,Mexico,Mexico,19.514,-103.62,Stratovolcano
Comondu-La Purisima,Mexico,Mexico,26,-111.92,Volcanic field
Coronado,Mexico,Mexico,29.08,-113.513,Stratovolcano
"Cumbres,  Las",Mexico,Mexico,19.15,-97.27,Stratovolcano
Durango Volcanic Field,Mexico,Mexico,24.15,-104.45,Cinder cone
"Gloria, La",Mexico,Mexico,19.33,-97.25,Volcanic field
Guadalupe,Mexico,Mexico,29.07,-118.28,Shield volcano
"Humeros, Los",Mexico,Mexico,19.68,-97.45,Caldera
"Isabel, Isla",Mexico,Mexico,21.848,-105.886,Stratovolcano
Iztaccihuatl,Mexico,Mexico,19.179,-98.642,Stratovolcano
Jaraguay Volcanic Field,Mexico,Mexico,29.33,-114.5,Cinder cone
Jocotitlan,Mexico,Mexico,19.73,-99.758,Stratovolcano
"Malinche, La",Mexico,Mexico,19.231,-98.032,Stratovolcano
Mascota Volcanic Field,Mexico,Mexico,20.567,-104.817,Shield volcano
Michoacan-Guanajuato,Mexico,Mexico,19.85,-101.75,Cinder cone
Naolinco Volcanic Field,Mexico,Mexico,19.67,-96.75,Pyroclastic cone
"Orizaba, Pico de",Mexico,Mexico,19.03,-97.27,Stratovolcano
Papayo,Mexico,Mexico,19.308,-98.7,Lava dome
Paricutin Volcanic Field,Mexico,Mexico,19.48,-102.25,Cinder cone
Pinacate,Mexico,Mexico,31.85,-113.5,Cinder cone
Popocatepetl,Mexico,Mexico,19.023,-98.622,Stratovolcano
"Prieto, Cerro",Mexico,Mexico,32.418,-115.305,Lava dome
San Borja Volcanic Field,Mexico,Mexico,28.5,-113.75,Cinder cone
"San Luis, Isla",Mexico,Mexico,29.97,-114.4,Tuff cone
San Martin,Mexico,Mexico,18.57,-95.2,Shield volcano
San Quintin Volcanic Field,Mexico,Mexico,30.468,-115.996,Cinder cone
Sanganguey,Mexico,Mexico,21.45,-104.73,Stratovolcano
Serdan-Oriental,Mexico,Mexico,19.27,-97.47,Tuff cone
Tacana,Mexico,Mexico,15.132,-92.109,Stratovolcano
"Toluca, Nevado de",Mexico,Mexico,19.108,-99.758,Stratovolcano
"Tortuga, Isla",Mexico,Mexico,27.438,-111.881,Shield volcano
Tres Virgenes,Mexico,Mexico,27.47,-112.591,Stratovolcano
Unnamed,Mexico,Mexico,28,-115,Submarine volcano
Zitacuaro-Valle de Bravo,Mexico,Mexico,19.4,-100.25,Stratovolcano
Barcena,Mexico,Mexico-Is,19.3,-110.82,Cinder cone
Socorro,Mexico,Mexico-Is,18.78,-110.95,Shield volcano
Bus-Obo,Mongolia,Mongolia,47.12,109.08,Cinder cone
Dariganga Volcanic Field,Mongolia,Mongolia,45.754,114.279,Cinder cone
Khanuy Gol,Mongolia,Mongolia,48.67,102.75,Volcanic field
Middle Gobi,Mongolia,Mongolia,45.28,106.7,Cinder cone
Taryatu-Chulutu,Mongolia,Mongolia,48.133,99.95,Volcanic field
Soufriere Hills,Montserrat,W Indies,16.72,-62.18,Stratovolcano
Lower Chindwin,Myanmar,SE Asia,22.28,95.1,Volcanic field
Popa,Myanmar,SE Asia,20.92,95.25,Stratovolcano
Singu Plateau,Myanmar,SE Asia,22.7,95.98,Fissure vent
Kick 'em Jenny,Netherlands,W Indies,12.3,-61.64,Submarine volcano
Nevis Peak,Netherlands,W Indies,17.15,-62.58,Stratovolcano
"Quill, The",Netherlands,W Indies,17.478,-62.96,Stratovolcano
Saba,Netherlands,W Indies,17.63,-63.23,Stratovolcano
Unnamed,Netherlands,W Indies,16.13,-61.28,Submarine volcano
Brimstone Island,New Zealand,Kermadec Is,-30.23,-178.92,Submarine volcano
Curtis Island,New Zealand,Kermadec Is,-30.543,-178.556,Submarine volcano
Giggenbach,New Zealand,Kermadec Is,-30.036,-178.712,Submarine volcano
Havre Seamount,New Zealand,Kermadec Is,-31.08,-179.033,Submarine
Macauley,New Zealand,Kermadec Is,-30.21,-178.475,Caldera
Monowai,New Zealand,Kermadec Is,-25.887,-177.188,Submarine volcano
Raoul Island,New Zealand,Kermadec Is,-29.27,-177.92,Stratovolcano
Unnamed,New Zealand,Kermadec Is,-29.18,-177.87,Submarine volcano
Wright,New Zealand,Kermadec Is,-31.85,-179.18,Submarine volcanoes
Auckland Volcanic Field,New Zealand,New Zealand,-36.89,174.81,Volcanic field
Brothers,New Zealand,New Zealand,-34.875,179.075,Submarine volcano
Clark,New Zealand,New Zealand,-36.446,177.839,Submarine volcano
Healy,New Zealand,New Zealand,-35.004,178.973,Submarine volcano
Kaikohe-Bay of Islands,New Zealand,New Zealand,-35.3,173.9,Volcanic field
Maroa,New Zealand,New Zealand,-38.42,176.08,Caldera
Mayor Island,New Zealand,New Zealand,-37.28,176.25,Shield volcano
Ngauruhoe,New Zealand,New Zealand,-39.158,175.63,Stratovolcano
Okataina,New Zealand,New Zealand,-38.12,176.5,Lava dome
Reporoa,New Zealand,New Zealand,-38.42,176.33,Caldera
Ruapehu,New Zealand,New Zealand,-39.28,175.57,Stratovolcano
Rumble II West,New Zealand,New Zealand,-35.353,178.527,Submarine volcano
Rumble III,New Zealand,New Zealand,-35.745,178.478,Submarine volcano
Rumble IV,New Zealand,New Zealand,-36.13,178.05,Submarine volcano
Rumble V,New Zealand,New Zealand,-36.142,178.196,Submarine volcano
Tangaroa,New Zealand,New Zealand,-36.321,178.028,Submarine volcano
Taranaki,New Zealand,New Zealand,-39.3,174.07,Stratovolcano
Taupo,New Zealand,New Zealand,-38.82,176,Caldera
Tongariro,New Zealand,New Zealand,-39.157,175.632,Stratovolcano
Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,Stratovolcano
Whangarei,New Zealand,New Zealand,-35.75,174.27,Cinder cone
Antipodes Island,New Zealand,Pacific-S,-49.683,178.767,Pyroclastic cones
Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,Pyroclastic shield
"Azul, Volcan",Nicaragua,Nicaragua,12.53,-83.87,Cinder cone
"Ciguatepe, Cerro El",Nicaragua,Nicaragua,12.53,-86.142,Stratovolcano
Concepcion,Nicaragua,Nicaragua,11.538,-85.622,Stratovolcano
Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,Stratovolcano
Esteli,Nicaragua,Nicaragua,13.17,-86.4,Fissure vent
Granada,Nicaragua,Nicaragua,11.9,-85.979,Fissure vent
"Lajas, Las",Nicaragua,Nicaragua,12.3,-85.73,Shield volcano
Maderas,Nicaragua,Nicaragua,11.446,-85.515,Stratovolcano
Masaya,Nicaragua,Nicaragua,11.985,-86.165,Caldera
Mombacho,Nicaragua,Nicaragua,11.826,-85.968,Stratovolcano
Momotombo,Nicaragua,Nicaragua,12.423,-86.539,Stratovolcano
"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,Cinder cone
Nejapa-Miraflores,Nicaragua,Nicaragua,12.12,-86.32,Fissure vent
"Pilas, Las",Nicaragua,Nicaragua,12.495,-86.688,Complex volcano
Rota,Nicaragua,Nicaragua,12.55,-86.75,Stratovolcano
San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,Stratovolcano
Telica,Nicaragua,Nicaragua,12.606,-86.84,Stratovolcano
Zapatera,Nicaragua,Nicaragua,11.73,-85.82,Shield volcano
Biu Plateau,Nigeria,Africa-W,10.75,12,Volcanic field
Changbaishan,North Korea,China-E,41.98,128.08,Stratovolcano
Ch'uga-ryong,North Korea,Korea,38.33,127.33,Shield volcano
Xianjindao,North Korea,Korea,41.33,128,Unknown
Banda Api,Pacific Ocean,Banda Sea,-4.523,129.881,Caldera
Emperor of China,Pacific Ocean,Banda Sea,-6.62,124.22,Submarine volcano
Manuk,Pacific Ocean,Banda Sea,-5.543,130.303,Stratovolcano
Nieuwerkerk,Pacific Ocean,Banda Sea,-6.6,124.675,Submarine volcano
Nila,Pacific Ocean,Banda Sea,-6.73,129.5,Stratovolcano
Serua,Pacific Ocean,Banda Sea,-6.312,130.017,Stratovolcano
Teon,Pacific Ocean,Banda Sea,-6.976,129.144,Stratovolcano
Wetar,Pacific Ocean,Banda Sea,-6.642,126.65,Stratovolcano
Galapagos Rift,Pacific Ocean,Pacific-E,0.792,-86.15,Submarine volcano
Galapagos Rift,Pacific Ocean,Pacific-E,0.792,-86.15,Submarine volcano
Northern EPR at 10.7°N,Pacific Ocean,Pacific-E,10.73,-103.58,Submarine volcano
Northern EPR at 16°N,Pacific Ocean,Pacific-E,15.83,-105.43,Submarine volcano
Northern EPR at 17°N,Pacific Ocean,Pacific-E,16.55,-105.32,Submarine
Northern EPR at 9.8°N,Pacific Ocean,Pacific-E,9.83,-104.3,Submarine volcano
Southern EPR at 8°S,Pacific Ocean,Pacific-E,-8.27,-107.95,Submarine volcano
Southern EPR-Segment I,Pacific Ocean,Pacific-E,-18.53,-113.42,Submarine volcano
Southern EPR-Segment J,Pacific Ocean,Pacific-E,-18.175,-113.35,Submarine volcano
Southern EPR-Segment K,Pacific Ocean,Pacific-E,-17.436,-113.206,Submarine volcano
Unnamed,Pacific Ocean,Pacific-E,9.82,-104.3,Submarine volcano
Axial Seamount,Pacific Ocean,Pacific-NE,45.95,-130,Submarine volcano
Cleft Segment,Pacific Ocean,Pacific-NE,44.83,-130.3,Submarine volcano
CoAxial Segment,Pacific Ocean,Pacific-NE,46.52,-129.58,Submarine
Cobb Segment,Pacific Ocean,Pacific-NE,46.88,-129.33,Submarine volcano
East Blanco Depression,Pacific Ocean,Pacific-NE,44.267,-129.879,Submarine
Endeavour Segment,Pacific Ocean,Pacific-NE,47.95,-129.1,Submarine volcano
Escanaba Segment,Pacific Ocean,Pacific-NE,40.98,-127.5,Submarine volcano
Jackson Segment,Pacific Ocean,Pacific-NE,42.15,-127.05,Submarine
North Gorda Ridge Segment,Pacific Ocean,Pacific-NE,42.67,-126.78,Submarine volcano
Unnamed,Pacific Ocean,Pacific-NE,31.75,-124.25,Submarine volcano
Unnamed,Pacific Ocean,Pacific-NE,31.75,-124.25,Submarine volcano?
Hollister Ridge,Pacific Ocean,Pacific-S,-53.998,-139.845,Submarine volcano
Udintsev Transform,Pacific Ocean,Pacific-S,-56.153,-143.373,Submarine volcano
Unnamed,Pacific Ocean,Pacific-S,-53.9,-140.3,Submarine volcano
Adams Seamount,Pacific Ocean,Society Is-C Pacific,-25.37,-129.27,Submarine
Eastern Gemini Seamount,Pacific Ocean,SW Pacific,-20.98,170.28,Submarine volcano
Hunter Island,Pacific Ocean,SW Pacific,-22.4,172.05,Stratovolcano
Matthew Island,Pacific Ocean,SW Pacific,-22.33,171.32,Stratovolcano
Unnamed,Pacific Ocean,SW Pacific,-25.78,168.63,Submarine volcano
Baru,Panama,Panama,8.808,-82.543,Complex volcano
"Valle, El",Panama,Panama,8.58,-80.17,Stratovolcano
St. Andrew Strait,Papua New Guinea,Admiralty Is-SW Paci,-2.38,147.35,Complex volcano
Bagana,Papua New Guinea,Bougainville-SW Paci,-6.137,155.196,Lava cone
Balbi,Papua New Guinea,Bougainville-SW Paci,-5.92,154.98,Stratovolcano
Billy Mitchell,Papua New Guinea,Bougainville-SW Paci,-6.092,155.225,Pyroclastic shield
Loloru,Papua New Guinea,Bougainville-SW Paci,-6.52,155.62,Pyroclastic shield
Takuan Group,Papua New Guinea,Bougainville-SW Paci,-6.442,155.608,Volcanic complex
Tore,Papua New Guinea,Bougainville-SW Paci,-5.835,154.935,Lava cone
Dawson Strait Group,Papua New Guinea,D'Entrecasteaux Is,-9.62,150.88,Volcanic field
Goodenough,Papua New Guinea,D'Entrecasteaux Is,-9.358,150.246,Volcanic field
Iamalele,Papua New Guinea,D'Entrecasteaux Is,-9.52,150.53,Lava dome
Bamus,Papua New Guinea,New Britain-SW Pac,-5.2,151.23,Stratovolcano
Bola,Papua New Guinea,New Britain-SW Pac,-5.141,150.038,Stratovolcano
Dakataua,Papua New Guinea,New Britain-SW Pac,-5.094,150.094,Caldera
Garove,Papua New Guinea,New Britain-SW Pac,-4.687,149.511,Stratovolcano
Garua Harbour,Papua New Guinea,New Britain-SW Pac,-5.3,150.07,Volcanic field
Hargy,Papua New Guinea,New Britain-SW Pac,-5.33,151.1,Stratovolcano
Krummel-Garbuna-Welcker,Papua New Guinea,New Britain-SW Pac,-5.416,150.027,Stratovolcano
Langila,Papua New Guinea,New Britain-SW Pac,-5.525,148.42,Complex volcano
Lolo,Papua New Guinea,New Britain-SW Pac,-5.466,150.509,Stratovolcano
Lolobau,Papua New Guinea,New Britain-SW Pac,-4.92,151.158,Caldera
Mundua,Papua New Guinea,New Britain-SW Pac,-4.624,149.339,Complex volcano
Rabaul,Papua New Guinea,New Britain-SW Pac,-4.271,152.203,Pyroclastic shield
Sulu Range,Papua New Guinea,New Britain-SW Pac,-5.5,150.942,Hydrothermal field
Tavui,Papua New Guinea,New Britain-SW Pac,-4.12,152.2,Caldera
Ulawun,Papua New Guinea,New Britain-SW Pac,-5.05,151.33,Stratovolcano
Unnamed,Papua New Guinea,New Britain-SW Pac,-4.75,150.85,Submarine volcano
Unnamed,Papua New Guinea,New Britain-SW Pac,-5.2,148.57,Submarine volcano
Witori,Papua New Guinea,New Britain-SW Pac,-5.576,150.516,Caldera
Crater Mountain,Papua New Guinea,New Guinea,-6.58,145.08,Stratovolcano
Doma Peaks,Papua New Guinea,New Guinea,-5.9,143.15,Stratovolcano
Hydrographers Range,Papua New Guinea,New Guinea,-9,148.37,Stratovolcano
Koranga,Papua New Guinea,New Guinea,-7.33,146.708,Explosion crater
Lamington,Papua New Guinea,New Guinea,-8.95,148.15,Stratovolcano
Madilogo,Papua New Guinea,New Guinea,-9.2,147.57,Pyroclastic cone
Managlase Plateau,Papua New Guinea,New Guinea,-9.08,148.33,Volcanic field
Musa River,Papua New Guinea,New Guinea,-9.308,148.13,Hydrothermal field
Sessagara,Papua New Guinea,New Guinea,-9.549,149.151,Unknown
Victory,Papua New Guinea,New Guinea,-9.2,149.07,Stratovolcano
Waiowa,Papua New Guinea,New Guinea,-9.57,149.075,Pyroclastic cone
Yelia,Papua New Guinea,New Guinea,-7.05,145.858,Stratovolcano
Bam,Papua New Guinea,New Guinea-NE of,-3.613,144.818,Stratovolcano
Blup Blup,Papua New Guinea,New Guinea-NE of,-3.507,144.605,Stratovolcano
Boisa,Papua New Guinea,New Guinea-NE of,-3.994,144.963,Stratovolcano
Hankow Reef,Papua New Guinea,New Guinea-NE of,-4.883,146.717,Unknown
Kadovar,Papua New Guinea,New Guinea-NE of,-3.608,144.588,Stratovolcano
Karkar,Papua New Guinea,New Guinea-NE of,-4.647,145.976,Stratovolcano
Long Island,Papua New Guinea,New Guinea-NE of,-5.358,147.12,Complex volcano
Manam,Papua New Guinea,New Guinea-NE of,-4.08,145.037,Stratovolcano
Ritter Island,Papua New Guinea,New Guinea-NE of,-5.519,148.115,Stratovolcano
Sakar,Papua New Guinea,New Guinea-NE of,-5.414,148.094,Stratovolcano
Umboi,Papua New Guinea,New Guinea-NE of,-5.592,147.892,Complex volcano
Unnamed,Papua New Guinea,New Guinea-NE of,-4.311,146.256,Submarine volcano
Ambitle,Papua New Guinea,New Ireland-SW Pacif,-4.08,153.65,Stratovolcano
Lihir,Papua New Guinea,New Ireland-SW Pacif,-3.125,152.642,Volcanic complex
Andahua-Orcopampa,Peru,Peru,-15.42,-72.33,Lava dome
"Auquihuato, Cerro",Peru,Peru,-15.07,-73.18,Stratovolcano
"Casiri, Nevados",Peru,Peru,-17.47,-69.813,Stratovolcano
"Chachani, Nevado",Peru,Peru,-16.191,-71.53,Stratovolcano
Coropuna,Peru,Peru,-15.52,-72.65,Stratovolcano
Huambo,Peru,Peru,-15.78,-72.08,Stratovolcano
Huaynaputina,Peru,Peru,-16.608,-70.85,Stratovolcano
"Misti, El",Peru,Peru,-16.294,-71.409,Stratovolcano
"Nicholson, Cerro",Peru,Peru,-16.261,-71.754,Cinder cone
Quimsachata,Peru,Peru,-14.133,-71.364,Stratovolcano
Sabancaya,Peru,Peru,-15.787,-71.857,Stratovolcanoes
Sara Sara,Peru,Peru,-15.33,-73.45,Cinder cone
Ticsani,Peru,Peru,-16.755,-70.595,Stratovolcano
Tutupaca,Peru,Peru,-17.026,-70.372,Stratovolcano
Ubinas,Peru,Peru,-16.355,-70.903,Stratovolcano
Yucamane,Peru,Peru,-17.184,-70.196,Stratovolcano
Babuyan Claro,Philippines,Luzon-N of,19.524,121.95,Stratovolcano
Camiguin de Babuyanes,Philippines,Luzon-N of,18.83,121.86,Stratovolcano
Didicas,Philippines,Luzon-N of,19.077,122.202,Compound volcano
Iraya,Philippines,Luzon-N of,20.469,122.01,Stratovolcano
Smith Volcano,Philippines,Luzon-N of,19.523,121.94,Stratovolcano
Unnamed,Philippines,Luzon-N of,20.33,121.75,Submarine volcano
Ambalatungan Group,Philippines,Luzon-Philippines,17.32,121.1,Compound volcano
Amorong,Philippines,Luzon-Philippines,15.828,120.805,Unknown
Arayat,Philippines,Luzon-Philippines,15.2,120.742,Stratovolcano
Banahaw,Philippines,Luzon-Philippines,14.07,121.48,Complex volcano
Bulusan,Philippines,Luzon-Philippines,12.769,124.056,Stratovolcano
Cagua,Philippines,Luzon-Philippines,18.222,122.123,Stratovolcano
Iriga,Philippines,Luzon-Philippines,13.458,123.451,Stratovolcano
Isarog,Philippines,Luzon-Philippines,13.658,123.38,Stratovolcano
Laguna Caldera,Philippines,Luzon-Philippines,14.42,121.27,Fumarole field
Malinao,Philippines,Luzon-Philippines,13.422,123.597,Stratovolcano
Malindig,Philippines,Luzon-Philippines,13.24,122.018,Stratovolcano
Mariveles,Philippines,Luzon-Philippines,14.527,120.482,Stratovolcano
Masaraga,Philippines,Luzon-Philippines,13.32,123.6,Stratovolcano
Mayon,Philippines,Luzon-Philippines,13.257,123.685,Stratovolcano
Natib,Philippines,Luzon-Philippines,14.72,120.4,Stratovolcano
Patoc,Philippines,Luzon-Philippines,17.147,120.98,Stratovolcano
Pinatubo,Philippines,Luzon-Philippines,15.13,120.35,Stratovolcano
Pocdol Mountains,Philippines,Luzon-Philippines,13.05,123.958,Compound volcano
San Pablo Volcanic Field,Philippines,Luzon-Philippines,14.12,121.3,Stratovolcano
Santo Tomas,Philippines,Luzon-Philippines,16.33,120.55,Stratovolcano
Taal,Philippines,Luzon-Philippines,14.002,120.993,Stratovolcano
Apo,Philippines,Mindanao-Philippines,6.989,125.269,Stratovolcano
Balatocan,Philippines,Mindanao-Philippines,8.8,124.92,Compound volcano
Balut,Philippines,Mindanao-Philippines,5.398,125.376,Stratovolcano
Camiguin,Philippines,Mindanao-Philippines,9.203,124.673,Stratovolcano
Kalatungan,Philippines,Mindanao-Philippines,7.95,124.8,Stratovolcano
Latukan,Philippines,Mindanao-Philippines,7.65,124.47,Stratovolcano
Leonard Range,Philippines,Mindanao-Philippines,7.382,126.047,Stratovolcano
Makaturing,Philippines,Mindanao-Philippines,7.644,124.317,Stratovolcano
Malindang,Philippines,Mindanao-Philippines,8.22,123.63,Stratovolcano
Matutum,Philippines,Mindanao-Philippines,6.37,125.07,Stratovolcano
Musuan,Philippines,Mindanao-Philippines,7.877,125.068,Tuff cone
Paco,Philippines,Mindanao-Philippines,9.593,125.52,Stratovolcano
Parker,Philippines,Mindanao-Philippines,6.113,124.892,Stratovolcano
Ragang,Philippines,Mindanao-Philippines,7.691,124.507,Stratovolcano
Biliran,Philippines,Philippines-C,11.523,124.535,Compound volcano
Cabalian,Philippines,Philippines-C,10.285,125.218,Stratovolcano
Cuernos de Negros,Philippines,Philippines-C,9.25,123.17,Stratovolcano
Kanlaon,Philippines,Philippines-C,10.412,123.132,Stratovolcano
Mahagnao,Philippines,Philippines-C,10.882,124.888,Stratovolcano
Mandalagan,Philippines,Philippines-C,10.65,123.25,Stratovolcano
Silay,Philippines,Philippines-C,10.77,123.23,Stratovolcano
Bud Dajo,Philippines,Sulu Is-Philippines,5.95,121.07,Pyroclastic cone
Agua de Pau,Portugal,Azores,37.77,-25.47,Stratovolcano
Corvo,Portugal,Azores,39.699,-31.111,Stratovolcano
Don Joao de Castro Bank,Portugal,Azores,38.23,-26.63,Submarine volcano
Fayal,Portugal,Azores,38.576,-28.713,Stratovolcano
Flores,Portugal,Azores,39.462,-31.216,Stratovolcano
Furnas,Portugal,Azores,37.77,-25.32,Stratovolcano
Graciosa,Portugal,Azores,39.02,-27.97,Stratovolcano
Madeira,Portugal,Azores,32.73,-16.97,Shield volcano
Monaco Bank,Portugal,Azores,37.6,-25.88,Submarine volcano
Pico,Portugal,Azores,38.47,-28.4,Stratovolcano
Picos Fissural Volcanic System,Portugal,Azores,37.78,-25.67,Pyroclastic cone
Sao Jorge,Portugal,Azores,38.65,-28.08,Fissure vent
Sete Cidades,Portugal,Azores,37.865,-25.785,Stratovolcano
Terceira,Portugal,Azores,38.73,-27.32,Stratovolcano
"Fournaise, Piton de la",Reunion,Indian O-W,-21.244,55.708,Shield volcano
Akademia Nauk,Russia,Kamchatka,53.98,159.45,Stratovolcanoes
Akhtang,Russia,Kamchatka,55.43,158.65,Shield volcano
Alney-Chashakondzha,Russia,Kamchatka,56.656,159.647,Stratovolcano
Alngey,Russia,Kamchatka,57.702,160.418,Stratovolcano
Anaun,Russia,Kamchatka,56.32,158.83,Stratovolcano
Asacha,Russia,Kamchatka,52.355,157.827,Pyroclastic cone
Avachinsky,Russia,Kamchatka,53.256,158.836,Stratovolcano
Bakening,Russia,Kamchatka,53.905,158.07,Stratovolcano
Barkhatnaya Sopka,Russia,Kamchatka,52.802,158.24,Lava dome
Belenkaya,Russia,Kamchatka,51.75,157.27,Stratovolcano
Bely,Russia,Kamchatka,57.88,160.53,Shield volcano
Bezymianny,Russia,Kamchatka,55.972,160.595,Stratovolcano
Bliznets,Russia,Kamchatka,56.97,159.78,Stratovolcano
Bliznetsy,Russia,Kamchatka,57.35,161.37,Lava cone
Bolshe-Bannaya,Russia,Kamchatka,52.9,157.78,Lava dome
Bolshoi Payalpan,Russia,Kamchatka,55.88,157.78,Shield volcano
Bolshoi Semiachik,Russia,Kamchatka,54.32,160.02,Stratovolcano
Bolshoi-Kekuknaysky,Russia,Kamchatka,56.483,157.917,Shield volcano
Cherny,Russia,Kamchatka,56.82,159.67,Stratovolcano
Cherpuk Group,Russia,Kamchatka,55.55,157.47,Pyroclastic cones
Diky Greben,Russia,Kamchatka,51.452,156.978,Lava dome
Dzenzursky,Russia,Kamchatka,53.637,158.922,Compound volcano
Eggella,Russia,Kamchatka,56.57,158.52,Shield volcano
Elovsky,Russia,Kamchatka,57.55,160.53,Shield volcano
Fedotych,Russia,Kamchatka,57.13,160.4,Shield volcano
Gamchen,Russia,Kamchatka,54.974,160.703,Complex volcano
Geodesistoy,Russia,Kamchatka,56.33,158.67,Shield volcano
Golaya,Russia,Kamchatka,52.263,157.787,Shield volcano
Gorely,Russia,Kamchatka,52.559,158.03,Caldera
Gorny Institute,Russia,Kamchatka,57.33,160.2,Stratovolcano
Ichinsky,Russia,Kamchatka,55.678,157.718,Stratovolcano
Iettunup,Russia,Kamchatka,58.4,161.08,Shield volcano
Iktunup,Russia,Kamchatka,58.08,160.77,Shield volcano
Iliinsky,Russia,Kamchatka,51.498,157.203,Stratovolcano
Kaileney,Russia,Kamchatka,57.8,160.67,Shield volcano
Kambalny,Russia,Kamchatka,51.306,156.875,Stratovolcano
Kamen,Russia,Kamchatka,56.02,160.593,Stratovolcano
Karymsky,Russia,Kamchatka,54.049,159.443,Stratovolcano
Kebeney,Russia,Kamchatka,57.1,159.93,Shield volcano
Kekurny,Russia,Kamchatka,56.4,158.85,Shield volcano
Kell,Russia,Kamchatka,51.65,157.35,Stratovolcano
Khangar,Russia,Kamchatka,54.761,157.407,Stratovolcano
Khodutka,Russia,Kamchatka,52.062,157.711,Stratovolcano
Kikhpinych,Russia,Kamchatka,54.489,160.251,Stratovolcano
Kinenin,Russia,Kamchatka,57.35,160.97,Maar
Kizimen,Russia,Kamchatka,55.131,160.32,Stratovolcano
Klyuchevskoy,Russia,Kamchatka,56.056,160.642,Stratovolcano
Komarov,Russia,Kamchatka,55.033,160.725,Stratovolcano
Koryaksky,Russia,Kamchatka,53.321,158.712,Stratovolcano
Koshelev,Russia,Kamchatka,51.356,156.753,Stratovolcano
Kostakan,Russia,Kamchatka,53.83,158.05,Stratovolcano
Kozyrevsky,Russia,Kamchatka,55.58,158.38,Shield volcano
Krainy,Russia,Kamchatka,56.37,159.03,Shield volcano
Krasheninnikov,Russia,Kamchatka,54.596,160.27,Caldera
Kronotsky,Russia,Kamchatka,54.753,160.533,Stratovolcano
Ksudach,Russia,Kamchatka,51.844,157.572,Stratovolcano
Kulkev,Russia,Kamchatka,56.37,158.37,Shield volcano
Kurile Lake,Russia,Kamchatka,51.45,157.12,Caldera
Leutongey,Russia,Kamchatka,57.306,159.827,Shield volcano
Maly Payalpan,Russia,Kamchatka,55.82,157.98,Shield volcano
Maly Semyachik,Russia,Kamchatka,54.135,159.674,Caldera
Mashkovtsev,Russia,Kamchatka,51.1,156.72,Stratovolcano
Mezhdusopochny,Russia,Kamchatka,57.47,160.25,Shield volcano
Mutnovsky,Russia,Kamchatka,52.449,158.196,Complex volcano
Nylgimelkin,Russia,Kamchatka,57.97,160.65,Shield volcano
Olkoviy Volcanic Group,Russia,Kamchatka,52.02,157.53,Volcanic field
Opala,Russia,Kamchatka,52.543,157.339,Caldera
Ostanets,Russia,Kamchatka,52.146,157.322,Shield volcano
Ostry,Russia,Kamchatka,58.18,160.82,Stratovolcano
Otdelniy,Russia,Kamchatka,52.221,157.435,Shield volcano
Ozernoy,Russia,Kamchatka,51.88,157.38,Shield volcano
Piratkovsky,Russia,Kamchatka,52.113,157.849,Stratovolcano
Plosky,Russia,Kamchatka,57.83,160.25,Shield volcano
Plosky,Russia,Kamchatka,55.2,158.47,Shield volcano
Pogranychny,Russia,Kamchatka,56.85,159.8,Shield volcano
Romanovka,Russia,Kamchatka,55.65,158.8,Stratovolcano
Schmidt,Russia,Kamchatka,54.92,160.63,Shield volcano
Sedanka Lava Field,Russia,Kamchatka,57.317,160.067,Shield volcano
Severny,Russia,Kamchatka,58.28,160.87,Shield volcano
Sheveluch,Russia,Kamchatka,56.653,161.36,Stratovolcano
Shisheika,Russia,Kamchatka,57.153,161.09,Lava dome
Shishel,Russia,Kamchatka,57.45,160.37,Shield volcano
Snegovoy,Russia,Kamchatka,58.2,160.97,Shield volcano
Snezhniy,Russia,Kamchatka,58.02,160.8,Shield volcano
Spokoiny,Russia,Kamchatka,58.13,160.82,Stratovolcano
Taunshits,Russia,Kamchatka,54.528,159.804,Stratovolcano
Terpuk,Russia,Kamchatka,57.2,159.83,Shield volcano
Titila,Russia,Kamchatka,57.406,160.108,Shield volcano
Tolbachik,Russia,Kamchatka,55.832,160.326,Shield volcano
Tolmachev Dol,Russia,Kamchatka,52.63,157.58,Cinder cone
Tuzovsky,Russia,Kamchatka,57.32,159.967,Shield volcano
Udina,Russia,Kamchatka,55.758,160.527,Stratovolcano
